[server 0 | term=0 | commit index=0] start, majority is: 2
[server 3 | term=5 | commit index=0] candidate 5 with term=0, index=0 is more up-to-date than term=0, index=0
[server 0 | term=6 | commit index=0] vote for server 5 in term 6
[server 6 | term=4 | commit index=0] received vote request
[server 1 | term=4 | commit index=0] received vote request
[server 3 | term=6 | commit index=0] vote for server 5 in term 6
[server 1 | term=4 | commit index=0] candidate 5 with term=0, index=0 is more up-to-date than term=0, index=0
[server 6 | term=4 | commit index=0] candidate 5 with term=0, index=0 is more up-to-date than term=0, index=0
[server 1 | term=6 | commit index=0] vote for server 5 in term 6
[server 6 | term=6 | commit index=0] vote for server 5 in term 6
[server 5 | term=6 | commit index=0] candidate has been elected as leader
[server 3 | term=6 | commit index=0] network failure, vote reuqest is out of date
[server 4 | term=4 | commit index=0] network failure, vote reuqest is out of date
[server 0 | term=5 | commit index=0] network failure, vote reuqest is out of date
[server 4 | term=4 | commit index=0] election timeout
[server 4 | term=5 | commit index=0] send vote request to server 6
[server 4 | term=5 | commit index=0] send vote request to server 5
[server 4 | term=5 | commit index=0] send vote request to server 3
[server 4 | term=5 | commit index=0] send vote request to server 1
[server 4 | term=5 | commit index=0] send vote request to server 0
[server 4 | term=5 | commit index=0] send vote request to server 2
[server 2 | term=5 | commit index=0] network failure, vote reuqest is out of date
[server 2 | term=4 | commit index=0] election timeout
[server 2 | term=5 | commit index=0] send vote request to server 0
[server 2 | term=5 | commit index=0] send vote request to server 4
[server 2 | term=5 | commit index=0] send vote request to server 5
[server 2 | term=5 | commit index=0] send vote request to server 6
[server 2 | term=5 | commit index=0] send vote request to server 1
[server 2 | term=5 | commit index=0] send vote request to server 3
[server 5 | term=6 | commit index=0] network failure, vote reuqest is out of date
[server 4 | term=5 | commit index=0] network failure, vote reuqest is out of date
[server 1 | term=6 | commit index=0] election timeout
[server 1 | term=7 | commit index=0] send vote request to server 0
[server 1 | term=7 | commit index=0] send vote request to server 6
[server 1 | term=7 | commit index=0] send vote request to server 2
[server 1 | term=7 | commit index=0] send vote request to server 3
[server 1 | term=7 | commit index=0] send vote request to server 4
[server 1 | term=7 | commit index=0] send vote request to server 5
[server 5 | term=6 | commit index=0] network failure, vote reuqest is out of date
[server 0 | term=6 | commit index=0] election timeout
[server 0 | term=7 | commit index=0] send vote request to server 6
[server 0 | term=7 | commit index=0] send vote request to server 1
[server 0 | term=7 | commit index=0] send vote request to server 2
[server 0 | term=7 | commit index=0] send vote request to server 3
[server 0 | term=7 | commit index=0] send vote request to server 4
[server 0 | term=7 | commit index=0] send vote request to server 5
[server 0 | term=7 | commit index=0] stale leader: 5
[server 1 | term=7 | commit index=0] network failure, vote reuqest is out of date
[server 5 | term=7 | commit index=0] election timeout
[server 5 | term=8 | commit index=0] send vote request to server 6
[server 5 | term=8 | commit index=0] send vote request to server 0
[server 5 | term=8 | commit index=0] send vote request to server 1
[server 5 | term=8 | commit index=0] send vote request to server 2
[server 5 | term=8 | commit index=0] send vote request to server 3
[server 5 | term=8 | commit index=0] send vote request to server 4
[server 6 | term=6 | commit index=0] received vote request
[server 6 | term=6 | commit index=0] candidate 5 with term=0, index=0 is more up-to-date than term=0, index=0
[server 0 | term=7 | commit index=0] received vote request
[server 0 | term=7 | commit index=0] candidate 5 with term=0, index=0 is more up-to-date than term=0, index=0
[server 6 | term=8 | commit index=0] vote for server 5 in term 8
[server 0 | term=8 | commit index=0] vote for server 5 in term 8
[server 2 | term=6 | commit index=0] received vote request
[server 2 | term=6 | commit index=0] candidate 5 with term=0, index=0 is more up-to-date than term=0, index=0
[server 2 | term=8 | commit index=0] vote for server 5 in term 8
[server 5 | term=8 | commit index=0] network failure, vote reuqest is out of date
[server 5 | term=8 | commit index=0] candidate has been elected as leader
[server 4 | term=6 | commit index=0] election timeout
[server 4 | term=7 | commit index=0] send vote request to server 6
[server 4 | term=7 | commit index=0] send vote request to server 0
[server 4 | term=7 | commit index=0] send vote request to server 1
[server 4 | term=7 | commit index=0] send vote request to server 2
[server 4 | term=7 | commit index=0] send vote request to server 3
[server 4 | term=7 | commit index=0] send vote request to server 5
[server 3 | term=6 | commit index=0] election timeout
[server 3 | term=7 | commit index=0] send vote request to server 6
[server 3 | term=7 | commit index=0] send vote request to server 0
[server 3 | term=7 | commit index=0] send vote request to server 1
[server 3 | term=7 | commit index=0] send vote request to server 2
[server 3 | term=7 | commit index=0] send vote request to server 4
[server 3 | term=7 | commit index=0] send vote request to server 5
[server 6 | term=8 | commit index=0] received vote request
[server 6 | term=8 | commit index=0] refused to vote for server 3 in term 7, self term: 0, self index: 0
[server 2 | term=8 | commit index=0] received vote request
[server 2 | term=8 | commit index=0] refused to vote for server 3 in term 7, self term: 0, self index: 0
[server 3 | term=7 | commit index=0] candidate is out of date
[server 4 | term=7 | commit index=0] received vote request
[server 4 | term=7 | commit index=0] candidate 3 with term=0, index=0 is more up-to-date than term=0, index=0
[server 4 | term=7 | commit index=0] has already voted for server 4 in term 7
[server 3 | term=8 | commit index=0] network failure, vote reuqest is out of date
[server 3 | term=8 | commit index=0] network failure, vote reuqest is out of date
[server 1 | term=7 | commit index=0] election timeout
[server 1 | term=8 | commit index=0] send vote request to server 0
[server 1 | term=8 | commit index=0] send vote request to server 2
[server 1 | term=8 | commit index=0] send vote request to server 3
[server 1 | term=8 | commit index=0] send vote request to server 4
[server 1 | term=8 | commit index=0] send vote request to server 5
[server 1 | term=8 | commit index=0] send vote request to server 6
[server 6 | term=8 | commit index=0] network failure, vote reuqest is out of date
[server 0 | term=8 | commit index=0] network failure, vote reuqest is out of date
[server 6 | term=8 | commit index=0] election timeout
[server 6 | term=9 | commit index=0] send vote request to server 0
[server 6 | term=9 | commit index=0] send vote request to server 2
[server 6 | term=9 | commit index=0] send vote request to server 1
[server 6 | term=9 | commit index=0] send vote request to server 3
[server 6 | term=9 | commit index=0] send vote request to server 4
[server 6 | term=9 | commit index=0] send vote request to server 5
[server 2 | term=8 | commit index=0] received vote request
[server 2 | term=8 | commit index=0] candidate 6 with term=0, index=0 is more up-to-date than term=0, index=0
[server 2 | term=9 | commit index=0] vote for server 6 in term 9
[server 3 | term=8 | commit index=0] received vote request
[server 3 | term=8 | commit index=0] candidate 6 with term=0, index=0 is more up-to-date than term=0, index=0
[server 3 | term=9 | commit index=0] vote for server 6 in term 9
[server 4 | term=7 | commit index=0] received vote request
[server 4 | term=7 | commit index=0] candidate 6 with term=0, index=0 is more up-to-date than term=0, index=0
[server 1 | term=8 | commit index=0] network failure, vote reuqest is out of date
[server 4 | term=9 | commit index=0] vote for server 6 in term 9
[server 6 | term=9 | commit index=0] candidate has been elected as leader
[server 0 | term=8 | commit index=0] election timeout
[server 0 | term=9 | commit index=0] send vote request to server 6
[server 0 | term=9 | commit index=0] send vote request to server 5
[server 0 | term=9 | commit index=0] send vote request to server 1
[server 0 | term=9 | commit index=0] send vote request to server 2
[server 0 | term=9 | commit index=0] send vote request to server 4
[server 0 | term=9 | commit index=0] send vote request to server 3
[server 6 | term=9 | commit index=0] stale leader: 5
[server 0 | term=9 | commit index=0] stale leader: 5
[server 4 | term=9 | commit index=0] stale leader: 5
[server 3 | term=9 | commit index=0] stale leader: 5
[server 2 | term=9 | commit index=0] stale leader: 5
[server 5 | term=9 | commit index=0] election timeout
[server 5 | term=10 | commit index=0] send vote request to server 0
[server 5 | term=10 | commit index=0] send vote request to server 6
[server 5 | term=10 | commit index=0] send vote request to server 1
[server 5 | term=10 | commit index=0] send vote request to server 2
[server 5 | term=10 | commit index=0] send vote request to server 3
[server 5 | term=10 | commit index=0] send vote request to server 4
[server 5 | term=10 | commit index=0] stale leader: 6
[server 0 | term=9 | commit index=0] received vote request
[server 0 | term=9 | commit index=0] candidate 5 with term=0, index=0 is more up-to-date than term=0, index=0
[server 0 | term=10 | commit index=0] vote for server 5 in term 10
[server 0 | term=10 | commit index=0] stale leader: 6
[server 6 | term=10 | commit index=0] received vote request
[server 6 | term=10 | commit index=0] candidate 5 with term=0, index=0 is more up-to-date than term=0, index=0
[server 2 | term=9 | commit index=0] received vote request
[server 2 | term=9 | commit index=0] candidate 5 with term=0, index=0 is more up-to-date than term=0, index=0
[server 1 | term=9 | commit index=0] received vote request
[server 3 | term=9 | commit index=0] received vote request
[server 3 | term=9 | commit index=0] candidate 5 with term=0, index=0 is more up-to-date than term=0, index=0
[server 6 | term=10 | commit index=0] vote for server 5 in term 10
[server 2 | term=10 | commit index=0] vote for server 5 in term 10
[server 4 | term=9 | commit index=0] received vote request
[server 4 | term=9 | commit index=0] candidate 5 with term=0, index=0 is more up-to-date than term=0, index=0
[server 1 | term=9 | commit index=0] candidate 5 with term=0, index=0 is more up-to-date than term=0, index=0
[server 4 | term=10 | commit index=0] vote for server 5 in term 10
[server 3 | term=10 | commit index=0] vote for server 5 in term 10
[server 5 | term=10 | commit index=0] candidate has been elected as leader
[server 1 | term=10 | commit index=0] vote for server 5 in term 10
[server 2 | term=10 | commit index=0] network failure, vote reuqest is out of date
[server 1 | term=5 | commit index=0] network failure, vote reuqest is out of date
[server 3 | term=10 | commit index=0] network failure, vote reuqest is out of date
[server 1 | term=10 | commit index=0] network failure, vote reuqest is out of date
[server 3 | term=10 | commit index=0] network failure, vote reuqest is out of date
  ... Passed --   5.5  7  612  142290    0
[server 0 | term=0 | commit index=0] start, majority is: 2
[server 1 | term=0 | commit index=0] start, majority is: 2
[server 2 | term=0 | commit index=0] start, majority is: 2
Test (2B): basic agreement ...
[server 0 | term=10 | commit index=0] network failure, vote reuqest is out of date
[server 0 | term=10 | commit index=0] network failure, vote reuqest is out of date
[server 5 | term=10 | commit index=0] network failure, vote reuqest is out of date
[server 2 | term=10 | commit index=0] network failure, vote reuqest is out of date
[server 0 | term=0 | commit index=0] election timeout
[server 3 | term=10 | commit index=0] network failure, vote reuqest is out of date
[server 0 | term=1 | commit index=0] send vote request to server 2
[server 0 | term=1 | commit index=0] send vote request to server 1
[server 2 | term=0 | commit index=0] received vote request
[server 2 | term=0 | commit index=0] candidate 0 with term=0, index=0 is more up-to-date than term=0, index=0
[server 1 | term=0 | commit index=0] received vote request
[server 1 | term=0 | commit index=0] candidate 0 with term=0, index=0 is more up-to-date than term=0, index=0
[server 2 | term=1 | commit index=0] vote for server 0 in term 1
[server 1 | term=1 | commit index=0] vote for server 0 in term 1
[server 0 | term=1 | commit index=0] candidate has been elected as leader
[server 0 | term=1 | commit index=0] command received, term=1, index=1
[server 0 | term=1 | commit index=0] send log append to server 2, index=1
[server 0 | term=1 | commit index=0] send log append to server 1, index=1
[server 1 | term=1 | commit index=0] received log append, current length=0, previous index=0, rpc term=1
[server 2 | term=1 | commit index=0] received log append, current length=0, previous index=0, rpc term=1
[server 0 | term=1 | commit index=0] next index=2 for server 1
[server 0 | term=1 | commit index=0] next index=2 for server 2
[server 1 | term=10 | commit index=0] network failure, vote reuqest is out of date
[server 0 | term=1 | commit index=0] leader commitIndex increases: 1
[server 6 | term=10 | commit index=0] network failure, vote reuqest is out of date
[server 1 | term=1 | commit index=0] update commit from 0 to 1
[server 2 | term=1 | commit index=0] update commit from 0 to 1
[server 0 | term=1 | commit index=1] command received, term=1, index=2
[server 0 | term=1 | commit index=1] send log append to server 1, index=2
[server 0 | term=1 | commit index=1] send log append to server 2, index=2
[server 2 | term=1 | commit index=1] received log append, current length=1, previous index=1, rpc term=1
[server 1 | term=1 | commit index=1] received log append, current length=1, previous index=1, rpc term=1
[server 0 | term=1 | commit index=1] next index=3 for server 2
[server 0 | term=1 | commit index=1] next index=3 for server 1
[server 6 | term=10 | commit index=0] network failure, vote reuqest is out of date
[server 0 | term=1 | commit index=1] leader commitIndex increases: 2
[server 4 | term=10 | commit index=0] network failure, vote reuqest is out of date
[server 2 | term=1 | commit index=1] update commit from 1 to 2
[server 1 | term=1 | commit index=1] update commit from 1 to 2
[server 0 | term=1 | commit index=2] command received, term=1, index=3
[server 3 | term=10 | commit index=0] network failure, vote reuqest is out of date
[server 5 | term=10 | commit index=0] network failure, vote reuqest is out of date
[server 3 | term=10 | commit index=0] network failure, vote reuqest is out of date
[server 0 | term=1 | commit index=2] send log append to server 1, index=3
[server 0 | term=1 | commit index=2] send log append to server 2, index=3
[server 1 | term=1 | commit index=2] received log append, current length=2, previous index=2, rpc term=1
[server 2 | term=1 | commit index=2] received log append, current length=2, previous index=2, rpc term=1
[server 0 | term=1 | commit index=2] next index=4 for server 1
[server 0 | term=1 | commit index=2] next index=4 for server 2
[server 2 | term=10 | commit index=0] network failure, vote reuqest is out of date
[server 0 | term=1 | commit index=2] leader commitIndex increases: 3
[server 1 | term=1 | commit index=2] update commit from 2 to 3
[server 2 | term=1 | commit index=2] update commit from 2 to 3
  ... Passed --   0.9  3   16    4864    3
[server 0 | term=0 | commit index=0] start, majority is: 2
[server 1 | term=0 | commit index=0] start, majority is: 2
[server 2 | term=0 | commit index=0] start, majority is: 2
Test (2B): RPC byte count ...
[server 4 | term=10 | commit index=0] network failure, vote reuqest is out of date
[server 2 | term=10 | commit index=0] network failure, vote reuqest is out of date
[server 6 | term=10 | commit index=0] network failure, vote reuqest is out of date
[server 5 | term=10 | commit index=0] network failure, vote reuqest is out of date
[server 5 | term=10 | commit index=0] network failure, vote reuqest is out of date
[server 1 | term=0 | commit index=0] election timeout
[server 1 | term=1 | commit index=0] send vote request to server 0
[server 1 | term=1 | commit index=0] send vote request to server 2
[server 0 | term=0 | commit index=0] received vote request
[server 0 | term=0 | commit index=0] candidate 1 with term=0, index=0 is more up-to-date than term=0, index=0
[server 2 | term=0 | commit index=0] received vote request
[server 2 | term=0 | commit index=0] candidate 1 with term=0, index=0 is more up-to-date than term=0, index=0
[server 0 | term=1 | commit index=0] vote for server 1 in term 1
[server 2 | term=1 | commit index=0] vote for server 1 in term 1
[server 1 | term=1 | commit index=0] candidate has been elected as leader
[server 1 | term=1 | commit index=0] command received, term=1, index=1
[server 5 | term=10 | commit index=0] network failure, vote reuqest is out of date
[server 1 | term=1 | commit index=0] send log append to server 2, index=1
[server 1 | term=1 | commit index=0] send log append to server 0, index=1
[server 2 | term=1 | commit index=0] received log append, current length=0, previous index=0, rpc term=1
[server 0 | term=1 | commit index=0] received log append, current length=0, previous index=0, rpc term=1
[server 1 | term=1 | commit index=0] next index=2 for server 2
[server 1 | term=1 | commit index=0] next index=2 for server 0
[server 1 | term=1 | commit index=0] leader commitIndex increases: 1
[server 4 | term=10 | commit index=0] network failure, vote reuqest is out of date
[server 0 | term=1 | commit index=0] update commit from 0 to 1
[server 2 | term=1 | commit index=0] update commit from 0 to 1
[server 1 | term=1 | commit index=1] command received, term=1, index=2
[server 1 | term=1 | commit index=1] send log append to server 2, index=2
[server 1 | term=1 | commit index=1] send log append to server 0, index=2
[server 2 | term=1 | commit index=1] received log append, current length=1, previous index=1, rpc term=1
[server 0 | term=1 | commit index=1] received log append, current length=1, previous index=1, rpc term=1
[server 1 | term=1 | commit index=1] next index=3 for server 2
[server 1 | term=1 | commit index=1] next index=3 for server 0
[server 1 | term=1 | commit index=1] leader commitIndex increases: 2
[server 3 | term=10 | commit index=0] network failure, vote reuqest is out of date
[server 6 | term=10 | commit index=0] network failure, vote reuqest is out of date
[server 0 | term=1 | commit index=1] update commit from 1 to 2
[server 2 | term=1 | commit index=1] update commit from 1 to 2
[server 1 | term=1 | commit index=2] command received, term=1, index=3
[server 6 | term=10 | commit index=0] network failure, vote reuqest is out of date
[server 6 | term=10 | commit index=0] network failure, vote reuqest is out of date
[server 6 | term=10 | commit index=0] network failure, vote reuqest is out of date
[server 1 | term=1 | commit index=2] send log append to server 2, index=3
[server 1 | term=1 | commit index=2] send log append to server 0, index=3
[server 2 | term=1 | commit index=2] received log append, current length=2, previous index=2, rpc term=1
[server 0 | term=1 | commit index=2] received log append, current length=2, previous index=2, rpc term=1
